t,Ex,Ey,Ez,n,rx,ry,rz,Omega1,Omega2,Omega3,Omega4
0,0,0,0,1,3854.96821280041,2954.38741719959,4772.64488132145,8002.3105386605,8002.3105386605,8002.3105386605,8002.3105386605
0.200000635147186,0,0,0,1,3854.3007980501,2953.51666017017,4773.72249687109,8002.3105386605,8002.3105386605,8002.3105386605,8002.3105386605
0.400001270294373,4.47601126627872e-05,-0.001093360143712,0.000596308278395455,0.999999223487981,3853.63318906574,2952.64575430092,4774.79987116627,8002.3105386605,8002.3105386605,8002.3105386605,8002.3105386605
0.600001905441559,-0.00126232649964663,-0.00248490406349187,0.00323449186607519,0.999990884881443,3852.96538588127,2951.77469963596,4775.87700415292,8002.3105386605,8002.3105386605,8002.3105386605,8002.3105386605
0.800002540588746,-0.00462054403465246,-0.00372390333080965,0.00829367117066741,0.999947997715541,3852.29738853064,2950.9034962194,4776.95389577695,8002.3105386605,8002.3105386605,8002.3105386605,8002.3105386605
1.00000317573593,-0.010515584060713,-0.00469099619319646,0.0155859102317499,0.999812230595738,3851.6291970478,2950.03214409538,4778.0305459843,8002.3105386605,8002.3105386605,8002.3105386605,8002.3105386605
1.20000381088312,-0.019153491559161,-0.00547931805327525,0.0245729854691877,0.999499519369517,3850.96081146672,2949.16064330803,4779.10695472094,8002.3105386605,8002.3105386605,8002.3105386605,8002.3105386605
1.40000444603031,-0.0299625982053673,-0.00611912811338468,0.0348884336244608,0.998923218360224,3850.29223182138,2948.28899390149,4780.18312193283,8002.3105386605,8002.3105386605,8002.3105386605,8002.3105386605
1.60000508117749,-0.0424738361153745,-0.00663534511460569,0.046230483783808,0.998005354599849,3849.62345814576,2947.41719591992,4781.25904756594,8002.3105386605,8002.3105386605,8002.3105386605,8002.3105386605
1.80000571632468,-0.0563018234481663,-0.00704888061332659,0.0583505485232419,0.996682312196593,3848.95449047387,2946.54524940747,4782.33473156626,8002.3105386605,8002.3105386605,8002.3105386605,8002.3105386605
2.00000635147186,-0.0711292152340097,-0.00737729814411703,0.0710432929560078,0.994906558797485,3848.2853288397,2945.67315440832,4783.41017387982,8002.3105386605,8002.3105386605,8002.3105386605,8002.3105386605
2.20000698661905,-0.0866938082947507,-0.00763502628395287,0.0841383588459334,0.992646274635486,3847.61597327728,2944.80091096663,4784.4853744526,8002.3105386605,8002.3105386605,8002.3105386605,8002.3105386605
2.40000762176624,-0.102778756892951,-0.00783402710813847,0.0974944031474984,0.989883829803135,3846.94642382063,2943.92851912659,4785.56033323066,8002.3105386605,8002.3105386605,8002.3105386605,8002.3105386605
2.60000825691342,-0.1192045286156,-0.00798422887098752,0.110994082492495,0.986613828252228,3846.27668050379,2943.05597893239,4786.63505016003,8002.3105386605,8002.3105386605,8002.3105386605,8002.3105386605
2.80000889206061,-0.136027972124587,-0.0081137531756233,0.124131749384312,0.982864114007561,3845.60674336081,2942.18329042822,4787.70952518676,8002.3105386605,8002.3105386605,8002.3105386605,8002.3105386605
3.0000095272078,-0.1539070677051,-0.00860657515517723,0.135136311952419,0.978762851035129,3844.93661242574,2941.31045365829,4788.78375825693,8002.3105386605,8002.3105386605,8002.3105386605,8002.3105386605
3.20001016235498,-0.172044191952595,-0.00913583974226246,0.145728421758008,0.974207657298742,3844.26628773265,2940.43746866681,4789.85774931661,8002.3105386605,8002.3105386605,8002.3105386605,8002.3105386605
3.40001079750217,-0.189765706323287,-0.00952987018637372,0.156743995276781,0.969190114591831,3843.59576931562,2939.564335498,4790.93149831191,8002.3105386605,8002.3105386605,8002.3105386605,8002.3105386605
3.60001143264936,-0.207055217193507,-0.00981551007479326,0.168035909874953,0.963740486742887,3842.92505720873,2938.69105419608,4792.00500518892,8002.3105386605,8002.3105386605,8002.3105386605,8002.3105386605
3.80001206779654,-0.223899533681808,-0.0100143424267751,0.179483343678784,0.957890620637196,3842.25415144608,2937.8176248053,4793.07826989376,8002.3105386605,8002.3105386605,8002.3105386605,8002.3105386605
4.00001270294373,-0.240288429074819,-0.0101437436784352,0.190987289260331,0.95167348952145,3841.58305206178,2936.9440473699,4794.15129237258,8002.3105386605,8002.3105386605,8002.3105386605,8002.3105386605
4.20001333809092,-0.256214405861449,-0.0102177226826297,0.202466869436973,0.945122713277296,3840.91175908994,2936.07032193412,4795.2240725715,8002.3105386605,8002.3105386605,8002.3105386605,8002.3105386605
4.4000139732381,-0.271672467725134,-0.010247588734968,0.213856302549389,0.938272102891885,3840.2402725647,2935.19644854222,4796.2966104367,8002.3105386605,8002.3105386605,8002.3105386605,8002.3105386605
4.60001460838529,-0.286659899200289,-0.0102424840650857,0.225102396515463,0.931155252787446,3839.56859252017,2934.32242723847,4797.36890591434,8002.3105386605,8002.3105386605,8002.3105386605,8002.3105386605
4.80001524353248,-0.301176053743387,-0.010209808787286,0.23616247426627,0.923805190613541,3838.89671899053,2933.44825806713,4798.4409589506,8002.3105386605,8002.3105386605,8002.3105386605,8002.3105386605
5.00001587867966,-0.315222150888293,-0.0101555604355691,0.247002651819128,0.916254086035046,3838.22465200991,2932.5739410725,4799.51276949169,8002.3105386605,8002.3105386605,8002.3105386605,8002.3105386605
5.20001651382685,-0.328801083007891,-0.0100846055804398,0.257596405231722,0.908533015665815,3837.55239161249,2931.69947629885,4800.5843374838,8002.3105386605,8002.3105386605,8002.3105386605,8002.3105386605
5.40001714897403,-0.341917232045569,-0.010000897376671,0.267923374746764,0.900671779143914,3836.87993783244,2930.82486379049,4801.65566287317,8002.3105386605,8002.3105386605,8002.3105386605,8002.3105386605
5.60001778412122,-0.354576296437608,-0.00990765001446577,0.277968364159802,0.892698760502166,3836.20729070394,2929.95010359171,4802.72674560602,8002.3105386605,8002.3105386605,8002.3105386605,8002.3105386605
5.80001841926841,-0.366785128330354,-0.00980747877732147,0.287720501287445,0.884640828887419,3835.53445026121,2929.07519574682,4803.79758562861,8002.3105386605,8002.3105386605,8002.3105386605,8002.3105386605
6.00001905441559,-0.378551581104839,-0.00970251261997202,0.297172531749481,0.876523272974249,3834.86141653843,2928.20014030015,4804.8681828872,8002.3105386605,8002.3105386605,8002.3105386605,8002.3105386605
6.20001968956278,-0.389884367152514,-0.00959448476855573,0.306320223402337,0.868369763894881,3834.18818956984,2927.32493729601,4805.93853732805,8002.3105386605,8002.3105386605,8002.3105386605,8002.3105386605
6.40002032470997,-0.400792925793288,-0.00948480573324446,0.31516186290886,0.860202342046379,3833.51476938964,2926.44958677875,4807.00864889746,8002.3105386605,8002.3105386605,8002.3105386605,8002.3105386605
6.60002095985715,-0.411287301182966,-0.00937462224690145,0.323697829288439,0.852041423674526,3832.84115603208,2925.57408879269,4808.07851754172,8002.3105386605,8002.3105386605,8002.3105386605,8002.3105386605
6.80002159500434,-0.42137803001287,-0.00926486494881064,0.331930232011197,0.843905823642038,3832.16734953141,2924.6984433822,4809.14814320714,8002.3105386605,8002.3105386605,8002.3105386605,8002.3105386605
7.00002223015153,-0.431076038752351,-0.00915628707589133,0.339862603399601,0.835812791258312,3831.49334992188,2923.82265059162,4810.21752584006,8002.3105386605,8002.3105386605,8002.3105386605,8002.3105386605
7.20002286529871,-0.440392550123037,-0.0090494959700587,0.347499636878119,0.827778056479146,3830.81915723776,2922.94671046531,4811.2866653868,8002.3105386605,8002.3105386605,8002.3105386605,8002.3105386605
7.4000235004459,-0.449338998427441,-0.00894497883530499,0.354846964048415,0.819815884178565,3830.14477151332,2922.07062304765,4812.35556179373,8002.3105386605,8002.3105386605,8002.3105386605,8002.3105386605
7.60002413559309,-0.457926953295579,-0.00884312386845106,0.361910964734242,0.811939134548155,3829.47019278285,2921.19438838302,4813.42421500719,8002.3105386605,8002.3105386605,8002.3105386605,8002.3105386605
